Ablation,QueryType,Hit@1,Hit@3,Hit@5,MRR
key_original,request,0.29537366548042704,0.498220640569395,0.5444839857651246,0.3941281138790035
key_original,described,0.29537366548042704,0.4626334519572954,0.5693950177935944,0.39157769869513637
key_original,implied,0.24555160142348753,0.45195729537366547,0.5195729537366548,0.3505338078291815
key_nlp,request,0.5195729537366548,0.697508896797153,0.7793594306049823,0.6159549228944247
key_nlp,described,0.49466192170818507,0.6227758007117438,0.7295373665480427,0.5765124555160143
key_nlp,implied,0.49110320284697506,0.6725978647686833,0.7615658362989324,0.5903914590747331
key_llm,request,0.5516014234875445,0.7402135231316725,0.797153024911032,0.6501779359430607
key_llm,described,0.45907473309608543,0.6441281138790036,0.7295373665480427,0.5602016607354686
key_llm,implied,0.47330960854092524,0.6548042704626335,0.7330960854092526,0.5724199288256228
desc_original,request,0.7615658362989324,0.9359430604982206,0.9644128113879004,0.8460854092526692
desc_original,described,0.6903914590747331,0.900355871886121,0.9252669039145908,0.7895610913404509
desc_original,implied,0.7402135231316725,0.9074733096085409,0.9430604982206405,0.8241399762752076
desc_llm,request,0.9430604982206405,0.9750889679715302,0.9857651245551602,0.9617437722419929
desc_llm,described,0.8612099644128114,0.9537366548042705,0.9715302491103203,0.9066429418742586
desc_llm,implied,0.8576512455516014,0.9644128113879004,0.9715302491103203,0.9055160142348754
full_OG,request,0.7722419928825622,0.9323843416370107,0.9501779359430605,0.8484578884934758
full_OG,described,0.7330960854092526,0.900355871886121,0.9537366548042705,0.824258600237248
full_OG,implied,0.7259786476868327,0.9288256227758007,0.9608540925266904,0.8257413997627523
full_nlp,request,0.7224199288256228,0.8861209964412812,0.9145907473309609,0.8004151838671413
full_nlp,described,0.6512455516014235,0.8576512455516014,0.9074733096085409,0.754922894424674
full_nlp,implied,0.6797153024911032,0.8790035587188612,0.9252669039145908,0.7779359430604982
full_llm,request,0.8896797153024911,0.9608540925266904,0.9750889679715302,0.9266903914590746
full_llm,described,0.8042704626334519,0.9145907473309609,0.9395017793594306,0.8619217081850534
full_llm,implied,0.8113879003558719,0.9430604982206405,0.9537366548042705,0.8720047449584816
onlykey_original,request,0.3238434163701068,0.4697508896797153,0.505338078291815,0.3959074733096085
onlykey_original,described,0.28113879003558717,0.4377224199288256,0.498220640569395,0.36287069988137605
onlykey_original,implied,0.27402135231316727,0.4306049822064057,0.48398576512455516,0.35563463819691576
onlykey_nlp,request,0.5373665480427047,0.7046263345195729,0.7793594306049823,0.6263938315539739
onlykey_nlp,described,0.48398576512455516,0.6370106761565836,0.7188612099644128,0.5723606168446027
onlykey_nlp,implied,0.4555160142348754,0.6868327402135231,0.7686832740213523,0.5763938315539738
onlykey_llm,request,0.5622775800711743,0.7544483985765125,0.7935943060498221,0.6565243179122185
onlykey_llm,described,0.4555160142348754,0.6227758007117438,0.7437722419928826,0.5596678529062871
onlykey_llm,implied,0.4804270462633452,0.6298932384341637,0.7402135231316725,0.5737841043890866
onlytopic_original,request,0.046263345195729534,0.1103202846975089,0.1601423487544484,0.08202846975088968
onlytopic_original,described,0.05693950177935943,0.15658362989323843,0.20284697508896798,0.11109134045077104
onlytopic_original,implied,0.06761565836298933,0.1387900355871886,0.16725978647686832,0.10130486358244363
onlytopic_nlp,request,0.0,0.010676156583629894,0.021352313167259787,0.0066429418742586
onlytopic_nlp,described,0.0,0.010676156583629894,0.02491103202846975,0.008125741399762751
onlytopic_nlp,implied,0.0035587188612099642,0.014234875444839857,0.02491103202846975,0.010023724792408066
onlytopic_llm,request,0.014234875444839857,0.03202846975088968,0.042704626334519574,0.023843416370106764
onlytopic_llm,described,0.0071174377224199285,0.02491103202846975,0.03558718861209965,0.01672597864768683
onlytopic_llm,implied,0.0071174377224199285,0.02491103202846975,0.03558718861209965,0.01672597864768683
