Ablation,QueryType,Hit@1,Hit@3,Hit@5,MRR
key_original,request,0.9822064056939501,0.99644128113879,0.99644128113879,0.9893238434163701
key_original,described,0.9039145907473309,0.9750889679715302,0.9786476868327402,0.9384341637010678
key_original,implied,0.8754448398576512,0.9715302491103203,0.9822064056939501,0.9220640569395019
key_nlp,request,0.9537366548042705,0.9893238434163701,0.99644128113879,0.9713523131672598
key_nlp,described,0.8469750889679716,0.9537366548042705,0.9822064056939501,0.8970344009489917
key_nlp,implied,0.8647686832740213,0.9750889679715302,0.9857651245551602,0.9180901542111507
key_llm,request,0.9466192170818505,0.9857651245551602,0.9893238434163701,0.9653024911032029
key_llm,described,0.8149466192170819,0.9501779359430605,0.9750889679715302,0.8826809015421117
key_llm,implied,0.8434163701067615,0.9466192170818505,0.9786476868327402,0.8951364175563465
desc_original,request,0.896797153024911,0.9537366548042705,0.9679715302491103,0.9256820877817319
desc_original,described,0.7615658362989324,0.8754448398576512,0.9323843416370107,0.8294780545670226
desc_original,implied,0.8220640569395018,0.9110320284697508,0.9395017793594306,0.8658362989323845
desc_llm,request,0.9537366548042705,0.9928825622775801,0.99644128113879,0.9730130486358243
desc_llm,described,0.8469750889679716,0.9501779359430605,0.9822064056939501,0.9018979833926454
desc_llm,implied,0.8434163701067615,0.9537366548042705,0.9750889679715302,0.8954329774614472
full_OG,request,0.8932384341637011,0.9572953736654805,0.99644128113879,0.9317319098457888
full_OG,described,0.7686832740213523,0.8932384341637011,0.9323843416370107,0.8371886120996442
full_OG,implied,0.8185053380782918,0.9181494661921709,0.9537366548042705,0.8698102016607355
full_nlp,request,0.8505338078291815,0.9430604982206405,0.9822064056939501,0.9040925266903915
full_nlp,described,0.7188612099644128,0.8612099644128114,0.9145907473309609,0.7940688018979831
full_nlp,implied,0.7829181494661922,0.9039145907473309,0.9430604982206405,0.8445432977461447
full_llm,request,0.9395017793594306,0.9893238434163701,0.9928825622775801,0.9633451957295375
full_llm,described,0.8469750889679716,0.9323843416370107,0.9501779359430605,0.8899762752075919
full_llm,implied,0.800711743772242,0.9252669039145908,0.9572953736654805,0.8644721233689205
onlykey_original,request,0.9750889679715302,0.99644128113879,1.0,0.9860616844602611
onlykey_original,described,0.8754448398576512,0.9644128113879004,0.9786476868327402,0.9223013048635825
onlykey_original,implied,0.8718861209964412,0.9537366548042705,0.9715302491103203,0.9112099644128112
onlykey_nlp,request,0.9359430604982206,0.9928825622775801,1.0,0.963641755634638
onlykey_nlp,described,0.8256227758007118,0.9572953736654805,0.9857651245551602,0.8891459074733099
onlykey_nlp,implied,0.8576512455516014,0.9750889679715302,0.9786476868327402,0.9129300118623963
onlykey_llm,request,0.9466192170818505,0.9857651245551602,0.9893238434163701,0.9653024911032029
onlykey_llm,described,0.8185053380782918,0.9430604982206405,0.9608540925266904,0.8791221826809016
onlykey_llm,implied,0.8149466192170819,0.9181494661921709,0.9750889679715302,0.8760972716488732
onlytopic_original,request,0.9857651245551602,1.0,1.0,0.9922894424673784
onlytopic_original,described,0.8576512455516014,0.9572953736654805,0.9786476868327402,0.9114472123368921
onlytopic_original,implied,0.8861209964412812,0.9466192170818505,0.9786476868327402,0.9185053380782919
onlytopic_nlp,request,0.9857651245551602,1.0,1.0,0.9922894424673784
onlytopic_nlp,described,0.8576512455516014,0.9572953736654805,0.9786476868327402,0.9114472123368921
onlytopic_nlp,implied,0.8861209964412812,0.9466192170818505,0.9786476868327402,0.9185053380782919
onlytopic_llm,request,0.9857651245551602,1.0,1.0,0.9922894424673784
onlytopic_llm,described,0.8576512455516014,0.9572953736654805,0.9786476868327402,0.9114472123368921
onlytopic_llm,implied,0.8861209964412812,0.9466192170818505,0.9786476868327402,0.9185053380782919
